id,precipitation_nextday
1,0.925
2,0.9
3,0.85
4,0.15
5,0.7
6,0.275
7,0.175
8,0.9
9,0.1
10,0.05
11,0.5
12,0.05
13,0.05
14,0.05
15,0.875
16,0.725
17,0.15
18,0.75
19,0.025
20,0.85
21,0.525
22,0.075
23,0.05
24,0.025
25,0.05
26,0.15
27,0.775
28,0.25
29,0.225
30,0.0
31,0.2
32,0.05
33,0.025
34,0.15
35,0.0
36,0.875
37,0.075
38,0.9
39,0.2
40,0.9
41,0.9
42,0.05
43,0.775
44,0.25
45,0.275
46,0.675
47,0.025
48,0.3
49,0.9
50,0.775
51,0.0
52,0.2
53,0.075
54,0.025
55,0.1
56,0.8
57,0.05
58,0.075
59,0.025
60,0.9
61,0.125
62,0.8
63,0.25
64,0.7
65,0.1
66,0.85
67,0.35
68,0.25
69,0.25
70,0.3
71,0.075
72,0.725
73,0.9
74,0.425
75,0.925
76,0.05
77,0.05
78,0.05
79,0.1
80,0.85
81,0.925
82,0.05
83,0.875
84,0.25
85,0.05
86,0.1
87,0.275
88,0.55
89,0.05
90,0.125
91,0.875
92,0.025
93,0.025
94,0.1
95,0.075
96,0.875
97,0.45
98,0.25
99,0.4
100,0.425
101,0.875
102,0.675
103,0.75
104,0.05
105,0.25
106,0.875
107,0.6
108,0.3
109,0.75
110,0.125
111,0.175
112,0.375
113,0.75
114,0.775
115,0.25
116,0.05
117,0.8
118,0.05
119,0.7
120,0.875
121,0.575
122,0.35
123,0.075
124,0.625
125,0.075
126,0.15
127,0.025
128,0.325
129,0.075
130,0.95
131,0.025
132,0.05
133,0.425
134,0.05
135,0.175
136,0.65
137,0.075
138,0.825
139,0.275
140,0.675
141,0.375
142,0.2
143,0.9
144,0.8
145,0.875
146,0.025
147,0.05
148,0.725
149,0.175
150,0.825
151,0.575
152,0.775
153,0.875
154,0.025
155,0.85
156,0.175
157,0.575
158,0.1
159,0.05
160,0.85
161,0.65
162,0.05
163,0.05
164,0.475
165,0.225
166,0.575
167,0.85
168,0.725
169,0.725
170,0.05
171,0.025
172,0.6
173,0.025
174,0.85
175,0.85
176,0.125
177,0.375
178,0.45
179,0.05
180,0.85
181,0.125
182,0.5
183,0.125
184,0.0
185,0.875
186,0.075
187,0.725
188,0.075
189,0.05
190,0.8
191,0.175
192,0.4
193,0.1
194,0.575
195,0.5
196,0.9
197,0.05
198,0.675
199,0.05
200,0.1
201,0.1
202,0.05
203,0.725
204,0.825
205,0.075
206,0.65
207,0.225
208,0.975
209,0.625
210,0.325
211,0.6
212,0.775
213,0.2
214,0.25
215,0.625
216,0.05
217,0.525
218,0.6
219,0.275
220,0.85
221,0.0
222,0.425
223,0.15
224,0.2
225,0.4
226,0.625
227,0.575
228,0.675
229,0.625
230,0.025
231,0.95
232,0.675
233,0.3
234,0.9
235,0.575
236,0.3
237,0.1
238,0.375
239,0.1
240,0.85
241,0.825
242,0.7
243,0.375
244,0.825
245,0.0
246,0.525
247,0.825
248,0.275
249,0.225
250,0.75
251,0.2
252,0.0
253,0.125
254,0.075
255,0.8
256,0.075
257,0.8
258,0.4
259,0.675
260,0.05
261,0.15
262,0.8
263,0.45
264,0.05
265,0.05
266,0.725
267,0.1
268,0.225
269,0.85
270,0.725
271,0.55
272,0.35
273,0.875
274,0.85
275,0.825
276,0.325
277,0.05
278,0.1
279,0.575
280,0.05
281,0.05
282,0.125
283,0.075
284,0.85
285,0.075
286,0.8
287,0.05
288,0.2
289,0.35
290,0.375
291,0.1
292,0.5
293,0.125
294,0.05
295,0.025
296,0.05
297,0.9
298,0.025
299,0.725
300,0.025
301,0.4
302,0.65
303,0.05
304,0.025
305,0.15
306,0.25
307,0.1
308,0.65
309,0.5
310,0.6
311,0.05
312,0.0
313,0.025
314,0.125
315,0.925
316,0.625
317,0.775
318,0.1
319,0.025
320,0.875
321,0.0
322,0.15
323,0.6
324,0.85
325,0.05
326,0.2
327,0.95
328,0.05
329,0.45
330,0.8
331,0.6
332,0.4
333,0.05
334,0.075
335,0.775
336,0.45
337,0.525
338,0.8
339,0.075
340,0.775
341,0.825
342,0.05
343,0.05
344,0.925
345,0.575
346,0.45
347,0.5
348,0.775
349,0.825
350,0.025
351,0.6
352,0.325
353,0.75
354,0.475
355,0.9
356,0.75
357,0.625
358,0.6
359,0.05
360,0.65
361,0.825
362,0.35
363,0.475
364,0.125
365,0.65
366,0.2
367,0.125
368,0.525
369,0.0
370,0.775
371,0.325
372,0.5
373,0.2
374,0.175
375,0.175
376,0.175
377,0.85
378,0.75
379,0.0
380,0.175
381,0.05
382,0.025
383,0.875
384,0.45
385,0.4
386,0.375
387,0.175
388,0.75
389,0.625
390,0.85
391,0.925
392,0.275
393,0.725
394,0.525
395,0.225
396,0.1
397,0.1
398,0.375
399,0.3
400,0.775
401,0.875
402,0.225
403,0.025
404,0.45
405,0.025
406,0.175
407,0.875
408,0.15
409,0.9
410,0.475
411,0.65
412,0.8
413,0.6
414,0.9
415,0.675
416,0.05
417,0.075
418,0.775
419,0.1
420,0.15
421,0.925
422,0.375
423,0.025
424,0.075
425,0.6
426,0.525
427,0.025
428,0.35
429,0.025
430,0.475
431,0.35
432,0.05
433,0.75
434,0.15
435,0.55
436,0.875
437,0.05
438,0.05
439,0.025
440,0.05
441,0.95
442,0.175
443,0.65
444,0.825
445,0.0
446,0.05
447,0.05
448,0.925
449,0.2
450,0.625
451,0.05
452,0.1
453,0.625
454,0.125
455,0.725
456,0.925
457,0.075
458,0.075
459,0.1
460,0.55
461,0.65
462,0.025
463,0.85
464,0.25
465,0.575
466,0.4
467,0.85
468,0.775
469,0.425
470,0.025
471,0.225
472,0.275
473,0.7
474,0.8
475,0.4
476,0.6
477,0.575
478,0.075
479,0.825
480,0.175
481,0.675
482,0.225
483,0.325
484,0.15
485,0.25
486,0.55
487,0.5
488,0.75
489,0.925
490,0.325
491,0.05
492,0.9
493,0.6
494,0.825
495,0.125
496,0.45
497,0.75
498,0.0
499,0.525
500,0.05
501,0.05
502,0.325
503,0.1
504,0.375
505,0.875
506,0.8
507,0.45
508,0.75
509,0.775
510,0.1
511,0.875
512,0.75
513,0.75
514,0.7
515,0.45
516,0.75
517,0.125
518,0.475
519,0.875
520,0.85
521,0.925
522,0.075
523,0.1
524,0.05
525,0.525
526,0.325
527,0.7
528,0.7
529,0.775
530,0.35
531,0.7
532,0.5
533,0.875
534,0.1
535,0.15
536,0.75
537,0.175
538,0.15
539,0.35
540,0.175
541,0.075
542,0.025
543,0.05
544,0.25
545,0.725
546,0.25
547,0.575
548,0.425
549,0.1
550,0.55
551,0.75
552,0.0
553,0.05
554,0.325
555,0.125
556,0.675
557,0.05
558,0.6
559,0.6
560,0.05
561,0.05
562,0.55
563,0.775
564,0.05
565,0.5
566,0.15
567,0.2
568,0.5
569,0.7
570,0.0
571,0.775
572,0.375
573,0.05
574,0.9
575,0.0
576,0.3
577,0.775
578,0.1
579,0.05
580,0.0
581,0.8
582,0.475
583,0.05
584,0.275
585,0.925
586,0.85
587,0.875
588,0.825
589,0.05
590,0.05
591,0.2
592,0.05
593,0.9
594,0.85
595,0.05
596,0.175
597,0.125
598,0.275
599,0.4
600,0.05
601,0.9
602,0.05
603,0.0
604,0.275
605,0.325
606,0.075
607,0.9
608,0.725
609,0.575
610,0.075
611,0.05
612,0.525
613,0.65
614,0.1
615,0.9
616,0.175
617,0.625
618,0.1
619,0.375
620,0.4
621,0.05
622,0.15
623,0.05
624,0.875
625,0.875
626,0.8
627,0.025
628,0.825
629,0.25
630,0.775
631,0.25
632,0.0
633,0.125
634,0.2
635,0.275
636,0.925
637,0.825
638,0.125
639,0.875
640,0.55
641,0.65
642,0.225
643,0.45
644,0.05
645,0.8
646,0.25
647,0.05
648,0.0
649,0.05
650,0.3
651,0.0
652,0.0
653,0.175
654,0.75
655,0.0
656,0.9
657,0.875
658,0.85
659,0.1
660,0.7
661,0.05
662,0.05
663,0.6
664,0.025
665,0.025
666,0.15
667,0.15
668,0.875
669,0.025
670,0.775
671,0.05
672,0.95
673,0.725
674,0.2
675,0.125
676,0.125
677,0.925
678,0.25
679,0.65
680,0.375
681,0.1
682,0.8
683,0.0
684,0.1
685,0.0
686,0.4
687,0.7
688,0.85
689,0.0
690,0.625
691,0.475
692,0.8
693,0.025
694,0.275
695,0.8
696,0.1
697,0.0
698,0.175
699,0.5
700,0.225
701,0.0
702,0.2
703,0.825
