id,precipitation_nextday
1,0.95625
2,0.69625
3,0.80975
4,0.1805
5,0.85225
6,0.298
7,0.08525
8,0.94025
9,0.375
10,0.114
11,0.3285
12,0.0175
13,0.01125
14,0.02075
15,0.775
16,0.36425
17,0.05375
18,0.50675
19,0.04
20,0.721
21,0.6945
22,0.0725
23,0.0485
24,0.183
25,0.0615
26,0.2215
27,0.6735
28,0.183
29,0.5565
30,0.0075
31,0.07075
32,0.04675
33,0.02475
34,0.16075
35,0.04475
36,0.8385
37,0.0935
38,0.93225
39,0.07
40,0.96425
41,0.807
42,0.1015
43,0.86775
44,0.43925
45,0.62175
46,0.6075
47,0.187
48,0.341
49,0.9635
50,0.839
51,0.01425
52,0.29775
53,0.064
54,0.0645
55,0.04425
56,0.71475
57,0.11
58,0.108
59,0.19875
60,0.86875
61,0.22475
62,0.95
63,0.084
64,0.566
65,0.11775
66,0.86475
67,0.574
68,0.13625
69,0.378
70,0.752
71,0.2905
72,0.82675
73,0.733
74,0.71375
75,0.952
76,0.152
77,0.0285
78,0.12825
79,0.15125
80,0.8705
81,0.65625
82,0.024
83,0.8265
84,0.42875
85,0.15825
86,0.2145
87,0.432
88,0.3585
89,0.1795
90,0.18125
91,0.95275
92,0.1555
93,0.08925
94,0.2525
95,0.0355
96,0.958
97,0.5275
98,0.14775
99,0.42925
100,0.19975
101,0.94625
102,0.784
103,0.80675
104,0.05425
105,0.52
106,0.91525
107,0.503
108,0.43375
109,0.9175
110,0.283
111,0.34475
112,0.26525
113,0.9
114,0.7125
115,0.4005
116,0.05325
117,0.8505
118,0.03825
119,0.6765
120,0.9595
121,0.53125
122,0.82825
123,0.26775
124,0.448
125,0.1595
126,0.09925
127,0.15875
128,0.22475
129,0.1425
130,0.96775
131,0.0825
132,0.08175
133,0.39375
134,0.07325
135,0.20675
136,0.6345
137,0.10725
138,0.803
139,0.29425
140,0.76525
141,0.733
142,0.257
143,0.84375
144,0.7705
145,0.89325
146,0.0085
147,0.05675
148,0.6895
149,0.2035
150,0.948
151,0.28925
152,0.65075
153,0.6405
154,0.02375
155,0.93875
156,0.18025
157,0.511
158,0.251
159,0.02125
160,0.64725
161,0.74225
162,0.0615
163,0.0185
164,0.784
165,0.186
166,0.76125
