id,precipitation_nextday
1,0.94375
2,0.6925
3,0.81375
4,0.18125
5,0.87375
6,0.275
7,0.09375
8,0.935
9,0.37125
10,0.12
11,0.30625
12,0.01875
13,0.00875
14,0.02125
15,0.7775
16,0.355
17,0.06125
18,0.48625
19,0.04
20,0.7175
21,0.72625
22,0.09125
23,0.0425
24,0.195
25,0.07125
26,0.2025
27,0.6625
28,0.18875
29,0.5475
30,0.0075
31,0.06125
32,0.04875
33,0.0125
34,0.145
35,0.0325
36,0.8525
37,0.11625
38,0.92375
39,0.07375
40,0.96375
41,0.79625
42,0.11125
43,0.88875
44,0.46875
45,0.6
46,0.61875
47,0.2
48,0.32625
49,0.9575
50,0.825
51,0.01125
52,0.3075
53,0.06
54,0.0675
55,0.05375
56,0.70125
57,0.10125
58,0.11375
59,0.21
60,0.86625
61,0.22
62,0.9475
63,0.0875
64,0.55875
65,0.12125
66,0.85625
67,0.58375
68,0.1425
69,0.36125
70,0.7675
71,0.28875
72,0.83
73,0.7475
74,0.71625
75,0.95125
76,0.13875
77,0.0225
78,0.1175
79,0.19375
80,0.87375
81,0.66
82,0.03125
83,0.81625
84,0.39875
85,0.1725
86,0.20875
87,0.43625
88,0.3575
89,0.16875
90,0.165
91,0.94375
92,0.13625
93,0.0875
94,0.26
95,0.02875
96,0.9525
97,0.515
98,0.14875
99,0.4175
100,0.2075
101,0.93625
102,0.77
103,0.8025
104,0.05
105,0.52625
106,0.915
107,0.5125
108,0.46875
109,0.91
110,0.295
111,0.35125
112,0.25375
113,0.88125
114,0.72125
115,0.37
116,0.0475
117,0.86
118,0.04
119,0.6675
120,0.95125
121,0.545
122,0.83125
123,0.25875
124,0.40875
125,0.16375
126,0.1
127,0.17375
128,0.2025
129,0.15625
130,0.9675
131,0.08375
132,0.0775
133,0.40125
134,0.07375
135,0.2125
136,0.61375
137,0.10625
138,0.80875
139,0.29125
140,0.75875
141,0.74375
142,0.2675
143,0.83625
144,0.78375
145,0.90875
146,0.0125
147,0.07125
148,0.6925
149,0.19625
150,0.94125
151,0.285
152,0.65125
153,0.64125
154,0.015
155,0.935
156,0.1775
157,0.52375
158,0.26875
159,0.01625
160,0.6575
161,0.73125
162,0.05875
163,0.0175
164,0.7925
165,0.20875
166,0.7525
167,0.87375
168,0.5775
169,0.77
170,0.0575
171,0.08375
172,0.365
173,0.025
174,0.89625
175,0.8925
176,0.42875
177,0.3725
178,0.78875
179,0.11875
180,0.76125
181,0.13125
182,0.52125
183,0.2875
184,0.04375
185,0.88875
186,0.12125
187,0.79375
188,0.075
189,0.11875
190,0.81
191,0.36125
192,0.52125
193,0.12375
194,0.79375
195,0.59125
196,0.60375
197,0.04625
198,0.7525
199,0.0925
200,0.065
201,0.35625
202,0.1575
203,0.785
204,0.9075
205,0.03125
206,0.7725
207,0.06125
208,0.9025
209,0.68625
210,0.19875
211,0.3125
212,0.78875
213,0.19875
214,0.335
215,0.44125
216,0.0375
217,0.66
218,0.70625
219,0.34
220,0.80125
221,0.035
222,0.3775
223,0.05
224,0.04
225,0.49
226,0.645
227,0.7125
228,0.86625
229,0.585
230,0.14875
231,0.74375
232,0.62
233,0.7
234,0.86625
235,0.6825
236,0.18125
237,0.0725
238,0.33875
239,0.35
240,0.67625
241,0.92
242,0.7175
243,0.7125
244,0.91125
245,0.01625
246,0.5775
247,0.7825
248,0.5125
249,0.28875
250,0.87375
251,0.27
252,0.01875
253,0.19875
254,0.09875
255,0.7375
256,0.13625
257,0.40625
258,0.4475
259,0.77625
260,0.005
261,0.21625
262,0.95375
263,0.3925
264,0.1
265,0.1375
266,0.78875
267,0.1
268,0.18375
269,0.8825
270,0.6375
271,0.43875
272,0.25875
273,0.92375
274,0.925
275,0.56375
276,0.59875
277,0.09875
278,0.1725
279,0.5125
280,0.04625
281,0.10375
282,0.0825
283,0.17125
284,0.75
285,0.22125
286,0.85125
287,0.05
288,0.41
289,0.64125
290,0.2975
291,0.165
292,0.2175
293,0.475
294,0.04
295,0.04625
296,0.02125
297,0.92125
298,0.05
299,0.84125
300,0.05875
301,0.2125
302,0.7575
303,0.04625
304,0.01125
305,0.2775
306,0.41875
307,0.08875
308,0.75625
309,0.66625
310,0.385
311,0.09875
312,0.04625
313,0.035
314,0.0825
315,0.9275
316,0.42625
317,0.62625
318,0.57625
319,0.155
320,0.82125
321,0.0425
322,0.2275
323,0.80375
324,0.9
325,0.09625
326,0.53375
327,0.9875
328,0.05625
329,0.3675
330,0.81375
331,0.85375
332,0.3175
333,0.14125
334,0.10125
335,0.65875
336,0.22375
337,0.33875
338,0.86875
339,0.19125
340,0.6275
341,0.64625
342,0.02625
343,0.115
344,0.91125
345,0.60875
346,0.505
347,0.45875
348,0.87875
349,0.52
350,0.065
351,0.73125
352,0.73125
353,0.6575
354,0.41625
355,0.75625
356,0.6875
357,0.41625
358,0.83375
359,0.035
360,0.86375
361,0.96875
362,0.305
363,0.76875
364,0.24875
365,0.7
366,0.56
367,0.2
368,0.4525
369,0.1075
370,0.82
371,0.5525
372,0.7725
373,0.0625
374,0.24375
375,0.24875
376,0.095
377,0.86125
378,0.44625
379,0.07375
380,0.39375
381,0.03625
382,0.11
383,0.8525
384,0.525
385,0.33625
386,0.555
387,0.265
388,0.54
389,0.72875
390,0.66
391,0.95625
392,0.6675
393,0.68375
394,0.7775
395,0.2725
396,0.225
397,0.1375
398,0.265
399,0.53
400,0.66875
401,0.9175
402,0.18875
403,0.03125
404,0.40875
405,0.13
406,0.505
407,0.61375
408,0.22875
409,0.9
410,0.545
411,0.76625
412,0.8825
413,0.4525
414,0.7825
415,0.75
416,0.1375
417,0.095
418,0.645
419,0.24625
420,0.04
421,0.90875
422,0.44125
423,0.02375
424,0.05125
425,0.50125
426,0.61375
427,0.09375
428,0.185
429,0.02875
430,0.625
431,0.37125
432,0.05
433,0.84375
434,0.45125
435,0.535
436,0.865
437,0.08375
438,0.01
439,0.14625
440,0.0975
441,0.9575
442,0.51
443,0.64
444,0.685
445,0.01375
446,0.03125
447,0.10375
448,0.865
449,0.35875
450,0.585
451,0.08625
452,0.4075
453,0.6875
454,0.045
455,0.82625
456,0.97625
457,0.63125
458,0.33625
459,0.03875
460,0.285
461,0.59625
462,0.2625
463,0.8475
464,0.32625
465,0.69125
466,0.43375
467,0.9475
468,0.73375
469,0.66125
470,0.02
471,0.33875
472,0.53125
473,0.535
474,0.57875
475,0.765
476,0.59
477,0.645
478,0.17625
479,0.8825
480,0.41625
481,0.655
482,0.2725
483,0.28125
484,0.49625
485,0.11
486,0.8575
487,0.375
488,0.49125
489,0.985
490,0.485
491,0.09
492,0.9575
493,0.835
494,0.885
495,0.075
496,0.185
497,0.62
498,0.0125
499,0.74625
500,0.03375
501,0.115
502,0.17
503,0.18375
504,0.17
505,0.8725
506,0.87
507,0.21
508,0.76375
509,0.7675
510,0.0575
511,0.815
512,0.675
513,0.71375
514,0.89625
515,0.20125
516,0.54625
517,0.0425
518,0.4425
519,0.595
520,0.78875
521,0.97625
522,0.25125
523,0.03
524,0.015
525,0.695
526,0.2
527,0.67875
528,0.8775
529,0.53625
530,0.6
531,0.85375
532,0.4
533,0.89125
534,0.3275
535,0.21875
536,0.675
537,0.08625
538,0.24
539,0.1225
540,0.235
541,0.29875
542,0.045
543,0.455
544,0.44125
545,0.8025
546,0.5475
547,0.45625
548,0.2325
549,0.1525
550,0.59
551,0.7
552,0.0125
553,0.33125
554,0.39875
555,0.305
556,0.32875
557,0.13125
558,0.6825
559,0.51
560,0.07625
561,0.03125
562,0.295
563,0.595
564,0.03
565,0.645
566,0.5675
567,0.35375
568,0.28375
569,0.8225
570,0.09625
571,0.8675
572,0.8475
573,0.05875
574,0.84
575,0.15375
576,0.4725
577,0.66875
578,0.14625
579,0.09125
580,0.0325
581,0.9075
582,0.785
583,0.02375
584,0.57625
585,0.915
586,0.8725
587,0.79875
588,0.9625
589,0.0425
590,0.0375
591,0.13125
592,0.05625
593,0.92125
594,0.85375
595,0.13
596,0.455
597,0.24
598,0.2725
599,0.22
600,0.08625
601,0.6925
602,0.425
603,0.0575
604,0.63375
605,0.7175
606,0.0975
